iter	MultiClass
0	1.945737785
1	1.945543319
2	1.945347986
3	1.945174712
4	1.945028474
5	1.944883074
6	1.94473933
7	1.944611271
8	1.944446343
9	1.944315765
10	1.944175017
11	1.944024724
12	1.943894797
13	1.943763023
14	1.943639905
15	1.94350726
16	1.943390906
17	1.943255099
18	1.943136348
19	1.943043226
20	1.942929154
21	1.942827827
22	1.942732164
23	1.942619386
24	1.942505969
25	1.942411056
26	1.942282086
27	1.942181087
28	1.942103763
29	1.942011707
30	1.941932813
31	1.941833914
32	1.941738284
33	1.941625944
34	1.941517635
35	1.941429081
36	1.94135488
37	1.941263664
38	1.941164439
39	1.941093793
40	1.941021019
41	1.940929115
42	1.940846982
43	1.940778238
44	1.940709664
45	1.940634881
46	1.940553387
47	1.940472907
48	1.940388242
49	1.94033826
50	1.940258187
51	1.940171016
52	1.940094753
53	1.940037237
54	1.939968567
55	1.939905024
56	1.939850958
57	1.939776633
58	1.939720745
59	1.939653201
60	1.939583083
61	1.939510387
62	1.93944115
63	1.939365132
64	1.939311401
65	1.939295061
66	1.939241283
67	1.939184361
68	1.939130531
69	1.939072455
70	1.939018496
71	1.938974814
72	1.938907737
73	1.938844807
74	1.938794576
75	1.938743157
76	1.938698098
77	1.938661254
78	1.938597586
79	1.938548594
80	1.938494768
81	1.938427944
82	1.938374735
83	1.938314579
84	1.938264793
85	1.93821573
86	1.938167254
87	1.938105228
88	1.938052695
89	1.93799775
90	1.937942634
91	1.937878527
92	1.937827947
93	1.93777289
94	1.937720383
95	1.937673944
96	1.937624917
97	1.937578424
98	1.937537645
99	1.937482871
100	1.937442636
101	1.93739534
102	1.937349551
103	1.937300879
104	1.937261073
105	1.937215405
106	1.937158551
107	1.937111781
108	1.937072956
109	1.937019962
110	1.936977252
111	1.936936114
112	1.936892035
113	1.93684377
114	1.936797133
115	1.936761663
116	1.936717308
117	1.93665991
118	1.936612643
119	1.936571014
120	1.936519814
121	1.936471669
122	1.936428627
123	1.936391786
124	1.936334353
125	1.936290095
126	1.936247256
127	1.93619638
128	1.936155341
129	1.936114224
130	1.93607247
131	1.936021227
132	1.935983056
133	1.93594491
134	1.935907918
135	1.935863429
136	1.935821224
137	1.935781839
138	1.935745234
139	1.935709567
140	1.935669606
141	1.935626108
142	1.935572113
143	1.935542024
144	1.935492086
145	1.935448266
146	1.935400086
147	1.935351791
148	1.935327064
149	1.935286932
150	1.935247601
151	1.935210418
152	1.935174525
153	1.935129104
154	1.935089019
155	1.935048429
156	1.934998897
157	1.934958653
158	1.934929091
159	1.934873072
160	1.934832235
161	1.934789705
162	1.934752178
163	1.934714692
164	1.934666697
165	1.934626322
166	1.934587814
167	1.934545322
168	1.934501226
169	1.934465506
170	1.93441932
171	1.934381865
172	1.934344276
173	1.934320168
174	1.934288467
175	1.934251145
176	1.934211727
177	1.93417187
178	1.934127179
179	1.934098881
180	1.934066156
181	1.934022636
182	1.933982141
183	1.933943051
184	1.933911175
185	1.933877749
186	1.933834978
187	1.933803722
188	1.933768318
189	1.933710788
190	1.933670237
191	1.933632799
192	1.933598123
193	1.933560328
194	1.933514863
195	1.933483368
196	1.933449497
197	1.933416779
198	1.93337824
199	1.933345111
200	1.933313561
201	1.933271342
202	1.933237699
203	1.933194828
204	1.933151697
205	1.933099774
206	1.933060035
207	1.933026509
208	1.932996274
209	1.93297029
210	1.932932149
211	1.932892867
212	1.932848502
213	1.932807115
214	1.932780135
215	1.93274607
216	1.932702341
217	1.932675932
218	1.932645653
219	1.932610738
220	1.932572507
221	1.932539524
222	1.932493366
223	1.932451604
224	1.932419935
225	1.932385194
226	1.932355438
227	1.932323448
228	1.932289501
229	1.932250794
230	1.932229396
231	1.932197422
232	1.932171428
233	1.932139047
234	1.932102258
235	1.932067553
236	1.93203788
237	1.931997894
238	1.931959518
239	1.931920324
240	1.931880868
241	1.931840883
242	1.931809816
243	1.931779533
244	1.931743707
245	1.93170581
246	1.931670994
247	1.931635442
248	1.931594369
249	1.931550952
250	1.931515361
251	1.931479835
252	1.931438033
253	1.931402317
254	1.931366659
255	1.931321701
256	1.931288319
257	1.931247752
258	1.931212744
259	1.931174313
260	1.931139967
261	1.931098427
262	1.931068439
263	1.931031705
264	1.931000936
265	1.930966224
266	1.930919856
267	1.930880176
268	1.930835014
269	1.930796142
270	1.930764744
271	1.930726555
272	1.930691093
273	1.930651116
274	1.930604091
275	1.93057809
276	1.930536221
277	1.930493624
278	1.930464618
279	1.930422911
280	1.930388297
281	1.93034725
282	1.930311517
283	1.930283191
284	1.930246281
285	1.930210838
286	1.930175554
287	1.930138381
288	1.930096981
289	1.93005123
290	1.930027757
291	1.929994667
292	1.929964878
293	1.929934202
294	1.929911226
295	1.929879765
296	1.929843707
297	1.92981464
298	1.929783497
299	1.929750147
300	1.929711919
301	1.929684128
302	1.929656806
303	1.929622687
304	1.929585054
305	1.92955068
306	1.929512489
307	1.929478374
308	1.929447193
309	1.929411419
310	1.929374276
311	1.929340841
312	1.929308858
313	1.929273953
314	1.929232909
315	1.929212004
316	1.929187464
317	1.929158153
318	1.929124368
319	1.929096362
320	1.929065312
321	1.929035414
322	1.929008491
323	1.928976647
324	1.928939752
325	1.92890744
326	1.928873089
327	1.928846535
328	1.9288072
329	1.928774294
330	1.928739921
331	1.928712267
332	1.928674863
333	1.928634552
334	1.928594537
335	1.928566555
336	1.928530931
337	1.928491536
338	1.928450909
339	1.928415135
340	1.928377627
341	1.928340961
342	1.928317796
343	1.928287867
344	1.92825727
345	1.928230474
346	1.928190917
347	1.928159002
348	1.928127221
349	1.92808885
350	1.928050602
351	1.928028334
352	1.927998607
353	1.927961822
354	1.927936461
355	1.927908927
356	1.92788
357	1.927850747
358	1.9278086
359	1.927769131
360	1.927733906
361	1.927699109
362	1.927680649
363	1.92764496
364	1.92761964
365	1.927585456
366	1.927552867
367	1.927519663
368	1.927492497
369	1.927453357
370	1.927421602
371	1.927389045
372	1.927361945
373	1.927327232
374	1.927299451
375	1.927272439
376	1.927240774
377	1.927205645
378	1.927176725
379	1.927144747
380	1.927108558
381	1.927073868
382	1.927041381
383	1.927010834
384	1.926976602
385	1.926951694
386	1.926918971
387	1.926891754
388	1.926861289
389	1.926831791
390	1.926805572
391	1.926772027
392	1.926738901
393	1.926707597
394	1.926667855
395	1.926638617
396	1.926596125
397	1.926560526
398	1.926528794
399	1.926498613
400	1.926473414
401	1.926439222
402	1.926403849
403	1.926373515
404	1.926341892
405	1.92631543
406	1.926276446
407	1.926239635
408	1.926211789
409	1.926177139
410	1.926146424
411	1.926115752
412	1.926091253
413	1.9260643
414	1.926030059
415	1.926000468
416	1.925966075
417	1.92593844
418	1.925917535
419	1.925884197
420	1.925853823
421	1.925832788
422	1.925800116
423	1.925770198
424	1.925737841
425	1.925709842
426	1.925672794
427	1.92564358
428	1.925610853
429	1.925578057
430	1.925550253
431	1.925523319
432	1.925497131
433	1.925471483
434	1.925435802
435	1.925409198
436	1.925375592
437	1.925347048
438	1.925321818
439	1.92530305
440	1.92526874
441	1.925241125
442	1.925214371
443	1.925188003
444	1.925159965
445	1.925122947
446	1.925092618
447	1.925067129
448	1.925039563
449	1.925004424
450	1.924966625
451	1.924932259
452	1.924904639
453	1.924872905
454	1.924835163
455	1.924799993
456	1.92477184
457	1.92474065
458	1.92470268
459	1.924671858
460	1.924645874
461	1.924617204
462	1.924592251
463	1.924561701
464	1.924536371
465	1.92450488
466	1.924473795
467	1.924441055
468	1.924412339
469	1.924387046
470	1.924350203
471	1.924318036
472	1.924284777
473	1.924247499
474	1.924220116
475	1.924184653
476	1.924153994
477	1.924115145
478	1.92408966
479	1.92406477
480	1.924036261
481	1.924004761
482	1.923969561
483	1.923940477
484	1.923906646
485	1.923870634
486	1.923847673
487	1.923820259
488	1.923783322
489	1.923754519
490	1.923720753
491	1.923689378
492	1.923663788
493	1.923625826
494	1.923602713
495	1.923561028
496	1.923538703
497	1.923512605
498	1.92348059
499	1.923453261
500	1.923420224
501	1.923388885
502	1.923353628
503	1.923326421
504	1.923291099
505	1.92325195
506	1.923225464
507	1.923200016
508	1.923176264
509	1.9231493
510	1.92312463
511	1.923089067
512	1.92306675
513	1.923035987
514	1.923005132
515	1.922983107
516	1.922947994
517	1.922913875
518	1.922880502
519	1.922844381
520	1.922813037
521	1.922782906
522	1.922752708
523	1.922726532
524	1.922692181
525	1.922664934
526	1.922635157
527	1.922607144
528	1.922577836
529	1.92254717
530	1.922518159
531	1.922488027
532	1.922456015
533	1.922430191
534	1.922396738
535	1.922366621
536	1.92233578
537	1.922306722
538	1.922274607
539	1.922244959
540	1.922219554
541	1.922195437
542	1.92216403
543	1.922129708
544	1.922103406
545	1.922076381
546	1.922045489
547	1.922024509
548	1.921993128
549	1.921955681
550	1.921929737
551	1.92189772
552	1.921871986
553	1.921835682
554	1.921809068
555	1.921781856
556	1.92175633
557	1.92172651
558	1.921695995
559	1.921672684
560	1.921644727
561	1.921624045
562	1.921594822
563	1.921574856
564	1.921544905
565	1.921523825
566	1.921502452
567	1.921478886
568	1.921452608
569	1.921425077
570	1.921393082
571	1.921355348
572	1.921332097
573	1.921302992
574	1.921268655
575	1.921238432
576	1.921204134
577	1.921171255
578	1.921143861
579	1.921114886
580	1.921086623
581	1.921061322
582	1.921037006
583	1.921011281
584	1.920969934
585	1.920945013
586	1.920921171
587	1.920886386
588	1.920850806
589	1.920832542
590	1.920808295
591	1.920779318
592	1.920756672
593	1.920733101
594	1.92070506
595	1.920669016
596	1.920640119
597	1.920615224
598	1.920584642
599	1.920559637
600	1.920529231
601	1.920507595
602	1.920481593
603	1.920455557
604	1.920424605
605	1.920395865
606	1.920368555
607	1.920336789
608	1.920304793
609	1.920278564
610	1.920244192
611	1.920206249
612	1.920179581
613	1.920148622
614	1.920122138
615	1.92010267
616	1.920070278
617	1.920047629
618	1.920019122
619	1.919989171
620	1.919958421
621	1.919930668
622	1.919892792
623	1.919864404
624	1.919836333
625	1.919801998
626	1.919780445
627	1.91975229
628	1.919726471
629	1.919692672
630	1.91966273
631	1.919632909
632	1.919597438
633	1.919568866
634	1.919540348
635	1.91950891
636	1.919476856
637	1.919447862
638	1.919415238
639	1.91938778
640	1.919362705
641	1.919325121
642	1.91929756
643	1.919268769
644	1.919235622
645	1.919210425
