iter	Passed	Remaining
0	1050	1049168
1	2051	1023891
2	3063	1018020
3	4069	1013290
4	5056	1006309
5	6077	1006845
6	7096	1006678
7	8085	1002585
8	9086	1000573
9	10127	1002611
10	11115	999424
11	12097	996027
12	13092	994049
13	14091	992436
14	15082	990392
15	16105	990466
16	17095	988544
17	18093	987105
18	19098	986069
19	20114	985591
20	21102	983760
21	22083	981730
22	23090	980840
23	24087	979574
24	25085	978324
25	26095	977580
26	27098	976533
27	28335	983631
28	29702	994522
29	30702	992717
30	31701	990922
31	32707	989390
32	33715	987973
33	34722	986518
34	35737	985330
35	36752	984163
36	37761	982810
37	38761	981278
38	39822	981275
39	40820	979696
40	41814	978059
41	42842	977216
42	43854	976020
43	44845	974370
44	45885	973801
45	46889	972442
46	47898	971227
47	48932	970498
48	49987	970174
49	50960	968256
50	51963	966933
51	52989	966039
52	54008	965011
53	55025	963973
54	56037	962825
55	57030	961364
56	58045	960294
57	59085	959622
58	60144	959250
59	61440	962571
60	62706	965265
61	63741	964351
62	64768	963297
63	65801	962348
64	66805	960975
65	67317	952643
66	68336	951615
67	69350	950515
68	70394	949820
69	71394	948527
70	72387	947159
71	73393	945957
72	74423	945075
73	75439	944018
74	76452	942917
75	77452	941653
76	78452	940413
77	79458	939244
78	80488	938353
79	81472	936931
80	82475	935737
81	83500	934795
82	84489	933460
83	85486	932205
84	86482	930961
85	87473	929660
86	88459	928315
87	89492	927472
88	90524	926605
89	91510	925276
90	92506	924044
91	93776	925537
92	95073	927224
93	96136	926594
94	97178	925754
95	98192	924647
96	99190	923393
97	100224	922473
98	101219	921199
99	102236	920132
100	103241	918954
101	104237	917702
102	105234	916459
103	106238	915289
104	107235	914056
105	108245	912935
106	109280	912036
107	110348	911394
108	111354	910249
109	112399	909412
110	113433	908492
111	114462	907523
112	115483	906493
113	116513	905537
114	117529	904466
115	118584	903692
116	119631	902863
117	120670	901962
118	121695	900959
119	122735	900059
120	123773	899146
121	124779	898006
122	125891	897620
123	127198	898594
124	128414	898899
125	129426	897770
126	130455	896753
127	131444	895467
128	132439	894224
129	133453	893108
130	134447	891868
131	135475	890855
132	136489	889749
133	137474	888453
134	138472	887248
135	139545	886525
136	140565	885457
137	141560	884238
138	142565	883083
139	143588	882042
140	144581	880818
141	145577	879617
142	146594	878544
143	147604	877426
144	148591	876176
145	149629	875229
146	150633	874083
147	151627	872884
148	152620	871676
149	153615	870485
150	154612	869310
151	155637	868291
152	156648	867197
